title,company,location,date,url
"Senior Devops
Senior Devops","AGILINA



","Tel Aviv-Yafo, Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4403303314/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=LePOKOMUA5JKTjV2v6rJBg%3D%3D&trackingId=6eRi8sm7no%2BIAKRvM%2F8BWw%3D%3D&trk=flagship3_search_srp_jobs
"[ITO] (Infra) Software Engineering Manager (Bangkok-based, relocation provided)
[ITO] (Infra) Software Engineering Manager (Bangkok-based, relocation provided) with verification",Agoda,"Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4372244618/?eBP=CwEAAAGdpe6GYBMpiZPAcxn6YTvBM2-V97_b2KP40AUXAo3lyINb7-4lfeGrDvTL1qDKYBHONRoSYJj25fiUe3_4nipBo2N1b_6GMVF2ahbUxHuuNxbzAwueloRe1O0qBlec_zu55No0XlCW0oy6tpxtoRREngURMATM4NcLwdTGsyyAATSGW_q4i_0MaK7SRkJVPlGeN1UZJUnEwOyLpT53s5H8m657wrjxJ3aGXXcWTEyFh1zh3hYQ3pFwybQ84BHETTM-jmNgdxhF029kX_ztksyB-ihHILKC4kHxLGm2o2gSIIdXDU8PMyfH0VRmzwuXOoOYotJmjMdq_i1a82GuUKWi2EpVNfjiDqZKs4U7qBUBowTLt4Rs-tHGTGX1-Y7gd0GTfb3yTKA8KC1vE_GgiW4mhzim9O2Y4JFLmrDBkdC3Roaw7WgdXJ24SS4C3HDrVTMPIK9uIReHiOjEyuCtMDPZi5ol8v0b23qe&refId=ST13g5EFAOp6%2FOXvBNitPg%3D%3D&trackingId=KWpYnr0KsFKEAtNHVqJJSA%3D%3D&trk=flagship3_search_srp_jobs
"Formal Verification Engineer
Formal Verification Engineer",AI-Fabrics,"Caesarea, Haifa District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4403303070/?eBP=CwEAAAGdpfAa3MHO-ED8OEQArA9ySqd7pzMs8a5QNvdmY0kfgHrmObVHvplB_cCz83L0H7jxeDuSNJXuUIr63aSVPpAnStut6I-vJgiNnQxppk4Kha5BGN8JJjhayDMSaMN3uz9eGErGgB8RfXgLd0BubNkBhlEk4lKIb_iQyTWEaJ6t4saDopzQds1bGR6zgmJqAbpgFGsCClEwLifxyfPe6lPd9cWvVcj-RitrgW03-aNEyiWw5ZFTs1yWFNB-xjfV6R_xdsm6VbO97l0EbleuP5Yq1cuVhCnUjdJhMQv4y1l42colgRME4G_wVeAOPv3oyoVOgsvUi5DcTrQd4qJenhsZgffj6cN2wWrHRctrgptV5P6qEtHnHVDVnAqy8tzzsRJNwtx-RetX1t_3ysrWkVvz9uVsjMD_H-Pa5C62VKnZ-_LQa7oCv27-CpPb32f9kY3yS-SnuekvwOHITAEdzmyA-nsdt-pBoj21QVvDOJA7mn7QyH2aDEuL3oGe1Q&refId=c9s0cyPwJYjuNWB7riCxyQ%3D%3D&trackingId=ysrS0CvQp48bOn8M4l2Uyg%3D%3D&trk=flagship3_search_srp_jobs
"Account Executive, SME & Growth, Israel
Account Executive, SME & Growth, Israel with verification",Airwallex,"Tel Aviv-Yafo, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4299252355/?eBP=CwEAAAGdpe1KCMnITNDxJ0JrpRwdmP4SGkKQYX27340NuEbr2RB5kuY3mdn16dUacp4k68Lz9eXwDcPht_Nb0HlLQS5TZCarUHIDtY_TqXSk2bB4aGQzkcdnHX0yLhb581XCUTCG06toqTV01mzI49i-9rmhs7DtkCf3Bplr7wJ156bgbBiK8dNJpEV02-44pbm34o_k5AjUQURdv36wd_PvtK1R5UMmtkFT9R4Oec63gFONwFVj_agc3ja5FxUrELYsA17ZQc6NdrbPGEXE0TL1Mm4FPS2xoN-JNXFCGYxK0wkiGZnMYAIzMT8-VA8SvlBGocX5mcPObcExKhBLMTADQTWRLllMXjgfIkyxEkj2Zhm40YNvA9Ef_SnLE_8kpRk5MDcDSISeHf5baXqiPuW2nWeG0jBE2pMlQpugaAcvhPqhh04XvCzAzYj-sVqygLfrnYqT7En07q9A11tLrLBqFBX_GSMYTPsFv-oKTsMnLF5u&refId=9K9t70WJl1MOJYQWMK%2BP7w%3D%3D&trackingId=b3HLql2tvounyXdzvzYGcQ%3D%3D&trk=flagship3_search_srp_jobs
"Automation Team Lead
Automation Team Lead","AlgoSec


","Petah Tikva, Center District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4403869052/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=WeAHA33keSXS6aDNyHThMw%3D%3D&trackingId=1DNAXkxfnqGDU%2BLnws9ung%3D%3D&trk=flagship3_search_srp_jobs
"Customer Marketing Manager, IL
Customer Marketing Manager, IL","AlgoSec


","Petah Tikva, Center District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4403856859/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=GukeC3sitjSIkWw6h3zU4Q%3D%3D&trackingId=yzNAV4qgAvfVBn2QPCkyEA%3D%3D&trk=flagship3_search_srp_jobs
"Sales Development Representative, EMEA
Sales Development Representative, EMEA","AlgoSec


","Petah Tikva, Center District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4403872025/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=hzEuPRoX3YWX2H7n%2FaIqZg%3D%3D&trackingId=LaKBUE%2Ba94dxKOFZRm94Zg%3D%3D&trk=flagship3_search_srp_jobs
"DevOps Team Leader, Israel
DevOps Team Leader, Israel","AlgoSec

11 hours ago
","Petah Tikva, Center District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4403862319/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=jAx%2BB%2BEVWn5ljKfetBOHJA%3D%3D&trackingId=31%2FLnJ2eIFu4z4AHdxtEzg%3D%3D&trk=flagship3_search_srp_jobs
"AI Analyst
AI Analyst with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4390897804/?eBP=CwEAAAGdpegx8U4AwQnEgGHBhXoCoujZfUVH2YRwqzb_jbDumLP7CAXwnSiYEa2N_f34cbNTLZh_8WAk8E-4d5JEXn9FIQg8m_H2UABCUbl5fYZKZVpjAY9EpKyxbmJ6UxIXo-uOnKihjgVUbQMgpDJNBZT8xSRt7q49CtHLultSyUniaycXi-sOUNNdLnLkPVpwo7SPSaV5RW7a8enN4X_yGL5I6baiJAsIppS215jBsG3jaDUdsq7DYpaFQdtNypeSkJXmCUWvorosOuAypXfT8LAEWtX3qeMPJeP5SVcajTrBog0tslBGd4sCDO3hVF1RnEzggzQLo7kD6GzL7_Re1v4TRM9fjVftcL-eRgcCmGBHDRsW_00i3kDiRTvF3KdrkISo-7UKql1O7HSXX053lzCWOJfX09I0kaoZ_Q4hzAuw5lsk2N3v38S7HXzbtBo_PwX3hBtCSU-Yy267CGayWjF1zIhNoS7X94sf757inA&refId=3GSsW%2FGg64qsOKIlknI5pw%3D%3D&trackingId=KbpsSk0XpDUsdJtqnZBcvg%3D%3D&trk=flagship3_search_srp_jobs
"Malware Researcher
Malware Researcher with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4382985260/?eBP=CwEAAAGdpeii_dO-bZ0u0Myg1vOPIvuK_g1aTgW6Cm6jTXkOjHPyZS9d5-OFptQAq61F5C9QpfybA-nT-_B9tjDTqK43xrqKdAMAcg3XxCOx42GS9wxwmEMOTiKCEQt_9lo0OKyfIEswHbLlErbEBO9fCVtVRi6-TAkGYPA0Ed2mkkb2C3R2zelNLRLTJwZZ9jlYQNMZZCqZ4cTzERfKNWURE1h5VieVXXUmFozclOiFb1ypCSt2VjM4cJxyX7al9FUIRqTUYpXjOtd9fq-JrHa5Nbg3xyXANWjJYMywqrR-NQLkXG8QvCn2dwwOLxYszeHdzJNXzW57K0CZhRrbl2wffil0W87m8Bch6-I6tFWFvN737q-_zZ_ow11iw3smaeeC5a9iq27j_cplGJTiSTDslg9qxuj6z5edUEFM8GERsENshO3FIHhBwhmkidD8kNTUvs2MX5VKC3eo68QJOAVnCC9f6MD_VpZ2aQmTl4GMjs8GZp8&refId=4Otb%2F4BDLb1TwGCaMQd53Q%3D%3D&trackingId=UqeerknFl8s%2BEtXwWJp%2B%2Fw%3D%3D&trk=flagship3_search_srp_jobs
"Android Security Research Team Lead
Android Security Research Team Lead with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4397768654/?eBP=CwEAAAGdpe1KCELSyDAmZdxNIMllWGkcUgSgypD5vF_HzOnXVEG1G1mQioJ4QDWuxS7lFeLnmZ68gGrFXcTQCqRwAEk-d6tkTKnPV8MYYd2azZHQIvFGOsc9fY-uKct3qJDxRRgT_QmTcJBrRCFQBaMQTSFStXe4wNMPnZcYvdhkjIGLa7xXxnEmhsQjzh-7bSAAu_y7-wz9y8WNt54d_LskFOiMjDXC9mldPA-4DRerlbTJ2lAfHLt8Vmedc887jYIJWzDQdjl2KZGGDgvoxgzKcL9J857UA7K9A9aDIX3lp1CQVOJ9Oqw9Nc4m2w9vNUvb__VWtdg90AHgMpCHLU8YAP6LzGxurrR6lIUWzVym2RthzRQQmtsUyURt5FzWTQuLwydS_wXhacMS1N2MUWutnq_5Hlv2Wy_pSe8aMkE75dFYFbf-DR9YiiEsrsLG6TlGcsSn4juVY8a-oyJYvoH96bhR5uMA3vkkveNcMYM&refId=9K9t70WJl1MOJYQWMK%2BP7w%3D%3D&trackingId=px8O4UUTZTto8Nu21L3RRA%3D%3D&trk=flagship3_search_srp_jobs
"Android Malware Research Director
Android Malware Research Director with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (On-site)",4/19/2026,https://www.linkedin.com/jobs/view/4382978639/?eBP=CwEAAAGdpe2LT3130duHam3EO0MFz3OP6zKhd6QujrpAiYJeV7q7akre7yUWbMeUDYu0RWy_Tv4aPaLvMcRxakjAK7iDhaEUTO5v7uo1GcO3C5HVD4UUZmxDG7PSS1Ay2OMMowbOV84ZIfRireUk6ubC33e9Hm8A2yJqawpW_SN7a-i9jWK7bzwKNLErh9yBlHsSNGsbTisnALmhGYrhOROiSPa223nDsgm1BvmjO_gZqVUxkp_kMB9g8-4wDczYnefSQNHrIa_INH3KH97q0h3rfX3bLlS723lNoTji3PKGBAXVpPtvHjw6rtBAYKZQhrPniff2Tjq9w3WmwLmFXzaqUVBD2-88C6QxLgQ_26IUDG_EFS8hEwE5UhpLmqMtpL-dM-UCKupFqiI8vC_s5hBQSrjOTqt9nQgWVL-Ygxu8Ehn7pn3gMdMvZ3oZHHO6xnzhkK2zwUBTyNJ-1bDINiEcZAPPTH1DWPILF2-Y-rBLjJYD&refId=nZzYOOu%2FsxmQzJx6ZAy71w%3D%3D&trackingId=lXfXroQ5t%2Fh6Zf%2FOwhrU8A%3D%3D&trk=flagship3_search_srp_jobs
"Marketing Automation Specialist (Maternity Leave Cover)
Marketing Automation Specialist (Maternity Leave Cover) with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4381711927/?eBP=CwEAAAGdpe-YDpg6ghzO87uMoqoq8OfRqYSpBF3q5RzhwEYb3UyplFgKYCe_R6fYzAzwAswf9StbNChJzZPcs7c7LBhxO-jAiWFVttSLKIxcaDrvu3iEKyHTHF2nK0J1W-F_dXwU_lfsCscr7MwDgfIycL98gWDCZyMwawVQ0ilOo-Q_bJSHOFNf_mpUxWO2gkrlO0nWdgKCRwsMCVqFOz881b3pRn0yfoAJSUIFNKgnsFO0KIJTeJoBneRoG2R5-cdwjOSih9-N0XGj94rDPCO0suNLgeHe3wrjqbbmHSIUtt9GKN0e0A5cSRsxRYZ05Q0ZL4aXvSDY1A406AqTDbX06K_l-y7LwS53SqjsYa3KLoj_IvfyUtPo-NkEdNsZAlczVGcFGUBLbDS83G04-j4rBKqB4iltwiOWzqC5GOLfm3kM22OpDU_j-uGk5V4V_4yB6V8_CM95tk9XH4lsPN6miuuBadkBftABzckm2p0&refId=GukeC3sitjSIkWw6h3zU4Q%3D%3D&trackingId=vvGvHI123SWwMg3Db89LUA%3D%3D&trk=flagship3_search_srp_jobs
"Senior Controller
Senior Controller with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4389070859/?eBP=CwEAAAGdpe_asyR9iEZQoYLg4LAd9KpsAAUtZfs_W2cKX3557ynfa-9uEvFFRYVR4W6tnOCUxe9KhVeGRlTOQuOqaOB_600aBJWloI0ijuJlAv_eVynC0zLDl5Mme3hF9WCCEl2gBIJM5zaMSBK4gP3rMwCGMjC_3UGncNXXJ5qRsYKfT7-BUdWW2oaOSwOn92JmhrxTXdG5wPUwTig2o9stBzi9fyyVpzF_pwqF0mJ74-yHoH5D4_zltg0YbLOMFEX7aCdp5sK8gHHC5s45zngUzehWxxKAA3bItoAsa1GF67S6oxkvsmT6JNwb1pWoXrIcQQF8FmuKrXCulp6xZ03bn5O7gfw955LE6EYLwCpetsaufYkS5J3_XdPEX-X4gPuTRStvdo2ybpUX3BG0i96oTFNRn86j_FqC7PkrKVQW115U_zkzsZTuyr0EZERKjUNAP6_E3pUFpCuDeV5EdNDlHEELi7MJLvFWyiq6_42pOTBawr0&refId=6%2F1TP8lSr5YtC2KJBZTUXg%3D%3D&trackingId=n%2FJa2ggwO7IzK8lVQv6G0g%3D%3D&trk=flagship3_search_srp_jobs
"InfoSec & SecOps Lead
InfoSec & SecOps Lead with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4386925284/?eBP=CwEAAAGdpfE9FCP-dhmP5ppW8sUZJ9ZJiTziHqmNDzznu7KbKHTK1wUZDGUdjjjNZA6Xo2fNhb8TS98zEpcAFS3aRdJJhLqaL5C9qGHuTBuBsFnET0Y-381Hnt7EZbAlmVljd1uUbhqxFrHBFl84Nlj6DvpziJJfqPGRFuKdiv9JQbt_FHwfBCi9azgEWs2hehNqh13M6N2N5HEr0ee6cSk4-3CkXAJo-GwMay8K0yEd9UOkY9DncXufXnmL8ikfThW4_1qeKelfVh30edkAhNy41IdhJrNRC288SlL3FHarphpqFaktGa6xROTLAHDUcwwJjLAtZQ8kKQxFZtsW6HI5YfySV48k4EsAjuigKQ_sldOtHnawDupYTf9R9rk_MmRvHaG7Xv1xrIWMjQxEwRiH60UAc3VcoOjQV1VFUapAtQsvndLwVMg_bC7DvMSbN2RW9WYeM5LutfXpwMxTM4BsXsV2BM2SlbER8NIlDAf6bNrRI1c&refId=fFvi8RXE%2BvxESY7ZnuyHpA%3D%3D&trackingId=fHr1YgjZ5w2%2BtpmpTqeqVw%3D%3D&trk=flagship3_search_srp_jobs
"Freelancer - AI Red Team Experts
Freelancer - AI Red Team Experts with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (Remote)",4/19/2026,https://www.linkedin.com/jobs/view/4384192768/?eBP=CwEAAAGdpfHHWaRTL80X9QkCEX-80EN5DqwoOl4ViVb6FWSlgfNE6oWeQOZgDrgH9ZBOjtRahTWI5S_I78PU9t5nVJsEi08jAPnhkjGBVT2uxX1J5TSv6VRn4WDSbxJ303t5DuMqyM6-rORqvQy78aT-VW4-0gOoCyV1djaqq0UU00tmyc3xGPrl84nigEQhu0GRGu8gtwIOfAWvQPle_yuAkfEAnV9dn4-ybye9TZZuytlL7hNAY_uLYQg37_KtJss6Mozg3H3pg8m9_NtDN3hVVLNgoCW5OqTa8AdDwbvzHoNrtK8QDu_M233TGC3NB4ACGdrQEX3DxMsIsBl_JaWdmZ0LRm2PfX1Y--G_ApahClW37jA9YRSOp_Cm5M0I80Z5HFm17nNQdbcwhgSRICqJrThH4C3foFhXuKAQmgBbiqSMls6ia3Su2UFrfEsDDJXksEMZPw6D6Eu-YZineK8RLGj_U-y-SrNKmk0ubJOFUgTAVlM&refId=9tACH8OVlIAP%2FC2PJiQetA%3D%3D&trackingId=nhwKPe0WzsLx1ngf%2Ff8Jpw%3D%3D&trk=flagship3_search_srp_jobs
"Security Researcher
Security Researcher with verification",Alice (Formerly ActiveFence),"Ramat Gan, Tel Aviv District, Israel (Hybrid)",4/19/2026,https://www.linkedin.com/jobs/view/4384196836/?eBP=CwEAAAGdpfJOKJ62SjIKDRwrPLICbLhWX0tqI_k6HmBCJkPxQiNC_TOtezA2l3wJLZJ4pwUepUdrOqUrtRxCyf1YFapsWxVgs6arg0pvaZCEr5ajUslRoIS30MnChrwiTY4FK7x3Mu5RmOrbuThhBDdmMTAiQ6IDx2lfZX5V7_30epyOzpuYafEo7XZOgEIdqKUCgsK4uICgDJKP-bX6lPfd8qppMAtlzcWmdj-Sfjm88B4S06cZfgLVax0zO0_wr52oOovY54N5oiJjbLZSYSb4tslE22pqzuNUofEoE0ny3iUqF7cl8NW212q3UwEAVA8ilV29inMBMNKoF-ZByAgS6HstqED7nwFqQdEMcrbyWamVEyFBEcuoN9DlOmnBFaS83KWSexSO_Sam4qAmOiZhjFJv-YFbJC2z42R5uMuz7ZOTnTMDO5fYILNcihRpQMwSRSFM47a6PCqpJBsQjeUaNlC7KxpVORljPhiumQV0l0yo&refId=prsmtozFzOhuhSCcAXz6HQ%3D%3D&trackingId=Sy3FwPvDAQnXU%2Bu9PUv%2FTQ%3D%3D&trk=flagship3_search_srp_jobs
